miejsce, kupon
Rokoko Białystok,4 shoty za 10 zł
Duży Pokój Białystok,Drugi koktajl alkoholowy -50%
Żebeerkownia Białystok,Piwo za darmo
Lulu Bistro Bydgoszcz,Kieliszek prosecco za 10 zł
Metro Express Bydgoszcz,Cuba libre bacardi 1+1
Twenty Bydgoszcz,Shot wódki 3 zł
Twenty Bydgoszcz,Drink 8 zł
Twenty Bydgoszcz,Kamikaze 15 zł
Bania Luka Kraków,5 shotów 40ml za 25 zł
Bania Luka Kraków,Dzban piwa 1,5l za 21 zł
Efemeria Kraków,-20% na piwo
By Clouds Kraków,2 piwa lub set wódki gratis
Pub Biblioteka Łódź,2x piwo za 5zł
Strefa Łódź,25 zł godzina gry w bilard i 0,5l piwa z nalewaka
Frame Łódź,25 zł godzina gry w bilard i 0,5l piwa z nalewaka
Presto Piotrkowska 27 Łódź,Duże piwo gratis
Pub Biblioteka Łódź,Pyszota "pesteczka" za 2 zł
Deja Vu Pub Poznań,4 szoty w cenie 2
Deja Vu Pub Poznań,2 piwa żywiec w cenie 1
Tutej By Liszczynski Poznań,-50% na koktajl lub drink
Jem Sushi Poznań,Lampka wina frizzante gratis
Gastrofaza Poznań,4 obłędne shoty gratis
Pyrabar Poznań,Karafka szpyrycera w cenie szklanki
Pod Filarem Poznań,6 shotów kamikaze gratis
Pod Filarem Poznań,2 jegerbomby gratis
Cubano Club Toruń,Bilet wstępu + welcome drink = 10 zł
Kredens Toruń,Drink studencki 6 pln
Pers Toruń,-20% na piwo
Wypij Z Gara Toruń,1 piwo zatecky gratis
Cubano Club Toruń,Bilet wstępu + welcome drink = 10 zł
Bajka Toruń,Bilet wstępu + welcome drink = 10 zł
Mistwood Toruń,Special drink za 15 zł
Kredens Toruń,Piwo studenckie 4 pln
Bajka Disco Club Toruń,Bilet wstępu + welcome drink = 10 zł
Hex Toruń,3 x drink 20 zł
Kafefajka Toruń,Piwo 7 zł
Hex Toruń,4 x shot kamikaze 12 zł
Cybermachina Toruń,5 shotów za 14 zł
Multipub Pod Grubą Kaśką Warszawa,Piwo 0,5l 7zł
Kafefajka Warszawa,Piwo 7 zł
Kafefajka Warszawa,Piwo gratis
